PropertyRuleID,PropertyID,RuleID
1,1,1
2,1,11
3,1,16
4,1,17
5,2,2
6,2,9
7,2,11
8,2,16
9,3,3
10,3,11
11,3,12
12,3,13
13,3,16
14,3,17
15,3,18
16,4,4
17,4,11
18,4,16
19,5,5
20,5,9
21,5,11
22,5,16
23,6,2
24,6,11
25,6,15
26,6,17
27,6,19
28,7,1
29,7,9
30,7,11
31,7,12
32,7,16
33,8,2
34,8,8
35,8,9
36,8,10
37,8,11
38,8,14
39,8,17
40,8,19
41,9,3
42,9,11
43,9,12
44,9,16
45,9,18
46,10,1
47,10,11
48,10,12
49,10,16
50,11,2
51,11,11
52,11,16
53,11,20
54,12,6
55,12,8
56,12,11
57,12,16
58,12,19
59,13,5
60,13,11
61,13,16
62,13,17
63,14,1
64,14,11
65,14,12
66,14,13
67,14,16
68,14,20
69,15,2
70,15,11
71,15,16
72,16,1
73,16,11
74,16,16
75,17,5
76,17,9
77,17,11
78,17,16
79,17,17
80,17,20
81,18,7
82,18,11
83,18,16
84,19,2
85,19,11
86,19,12
87,19,16
88,20,1
89,20,11
90,20,13
91,20,15
92,20,16
93,21,2
94,21,11
95,21,16
