UserLanguageID,Spoken_Ability,UserID,LanguageID
1,"First Language",1,5
2,"Second Language",1,19
3,"First Language",2,5
4,"Second Language",2,8
5,"First Language",3,5
6,"Second Language",3,8
7,"First Language",4,3
8,"Second Language",4,5
9,"First Language",5,5
10,"First Language",6,5
11,"Second Language",6,9
12,"Second Language",7,5
13,"First Language",7,6
14,"Second Language",7,19
15,"First Language",8,5
16,"Second Language",8,8
17,"First Language",9,5
18,"Second Language",10,3
19,"Second Language",10,5
20,"First Language",10,23
21,"First Language",11,3
22,"Second Language",11,5
23,"First Language",12,5
24,"First Language",13,5
25,"First Language",14,3
26,"Second Language",14,5
27,"First Language",15,5
28,"Second Language",16,5
29,"First Language",17,3
30,"First Language",17,5
31,"Second Language",17,14
32,"First Language",18,3
33,"Second Language",18,5
34,"First Language",19,3
35,"Second Language",19,5
36,"First Language",20,5
37,"First Language",21,5
38,"First Language",22,5
39,"Second Language",23,5
40,"Second Language",23,17
41,"First Language",23,19
42,"First Language",24,5
43,"First Language",25,5
44,"First Language",26,1
45,"Second Language",26,5
46,"First Language",27,5
47,"Second Language",28,4
48,"First Language",28,5
49,"First Language",29,5
50,"Second Language",29,11
51,"First Language",30,5
52,"Second Language",30,23
53,"First Language",31,5
54,"Second Language",32,5
55,"Second Language",32,9
56,"First Language",32,18
57,"Second Language",33,5
58,"First Language",33,8
59,"First Language",33,9
60,"First Language",34,5
61,"First Language",35,5
62,"Second Language",35,10
63,"First Language",36,5
64,"Second Language",36,22
65,"First Language",37,5
66,"First Language",38,4
67,"Second Language",38,5
68,"Second Language",39,3
69,"First Language",39,5
70,"Second Language",40,5
71,"First Language",40,18
