PropertyID,Property_Name,Property_Type,Property_Description,Room_Numbers,Price_Per_Night,Is_There_Kitchen,Is_There_Bathroom,Max_Guests_Allowed,HostID
1,"Cozy Downtown Apartment",Apartment,"A cozy apartment in the heart of the city. Perfect for a weekend getaway.",1,100.00,1,1,2,1
2,"Luxury Loft with City View",Loft,"A luxurious loft with a stunning view of the city skyline.",1,250.25,1,1,2,1
3,"Spacious Beach House",House,"A spacious beachfront house with a private pool and beach access.",4,350.75,1,1,8,2
4,"Charming Countryside Cottage",Cottage,"A charming cottage in the peaceful countryside. Ideal for nature lovers.",2,150.00,1,0,4,3
5,"Modern City Studio",Studio,"A modern studio apartment with all the amenities you need for a comfortable stay.",1,120.89,1,1,2,4
6,"Rustic Mountain Cabin",Cabin,"A rustic cabin nestled in the mountains. Perfect for a quiet retreat.",2,180.00,1,1,4,5
7,"Urban Oasis Penthouse",Penthouse,"A stunning penthouse with an urban oasis on the rooftop. Panoramic city views.",3,300.00,1,1,6,6
8,"Historic Townhouse",Townhouse,"A historic townhouse in the heart of the old town. Full of character and charm.",3,200.67,1,1,6,7
9,"Elegant Villa with Pool",Villa,"An elegant villa with a private pool and beautiful gardens. Ideal for a family vacation.",5,400.00,1,1,10,8
10,"Seaside Bungalow",Bungalow,"A cozy seaside bungalow just steps away from the beach. Relax and unwind.",1,130.99,1,1,2,9
11,"Downtown Condo with a View",Condo,"A stylish condo in the heart of the city with great views and access to amenities.",2,260.78,1,1,4,10
12,"Quaint Historic Cottage",Cottage,"A quaint historic cottage with a beautiful garden. Step back in time.",2,140.00,1,1,4,11
13,"Modern Apartment with Balcony",Apartment,"A modern apartment with a balcony for enjoying the city skyline.",3,310.00,1,1,6,12
14,"Sunny Beachfront Retreat",House,"A sunny beachfront house perfect for beach lovers. Private beach access.",3,280.00,1,1,6,13
15,"Downtown Loft with Industrial Flair",Loft,"A downtown loft with an industrial design and great proximity to city attractions.",1,220.00,1,1,2,14
16,"Cozy Riverside Cabin",Cabin,"A cozy cabin by the riverside. Ideal for a romantic getaway.",1,170.00,0,0,2,15
17,"Luxurious City Penthouse",Penthouse,"A luxurious penthouse in the city with top-of-the-line amenities and services.",4,450.55,1,1,8,16
18,"Artistic Urban Townhouse",Townhouse,"An artistic townhouse in a trendy urban neighborhood. Great for art lovers.",2,190.49,1,1,4,17
19,"Hillside Villa",Villa,"A hillside villa with a private setting and breathtaking hill views.",3,320.00,1,1,6,18
20,"Secluded Forest Cabin",Cabin,"A secluded cabin in the forest. Enjoy nature and solitude.",1,200.00,1,1,2,19
21,"Modern Urban Condo",Condo,"A modern condo in the heart of the city with access to shopping and dining.",4,275.95,1,1,8,20
