PropertyFacilityID,PropertyID,FacilityID
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,2,6
7,2,7
8,2,8
9,2,9
10,2,10
11,3,1
12,3,3
13,3,5
14,3,11
15,3,12
16,4,4
17,4,5
18,4,7
19,4,8
20,4,12
21,5,1
22,5,9
23,5,10
24,5,12
25,5,13
26,6,1
27,6,2
28,6,3
29,6,4
30,6,5
31,7,6
32,7,7
33,7,8
34,7,9
35,7,10
36,8,1
37,8,2
38,8,3
39,8,4
40,8,5
41,9,1
42,9,7
43,9,8
44,9,9
45,9,10
46,10,11
47,10,12
48,10,13
49,10,14
50,10,15
51,11,1
52,11,16
53,11,17
54,11,18
55,11,19
56,12,2
57,12,7
58,12,20
59,13,3
60,13,6
61,13,8
62,13,12
63,13,15
64,14,4
65,14,9
66,14,14
67,14,18
68,14,20
69,15,5
70,15,10
71,15,11
72,15,16
73,15,19
74,16,2
75,16,7
76,16,13
77,17,1
78,17,3
79,17,9
80,17,12
81,17,18
82,18,5
83,18,6
84,18,8
85,18,15
86,19,10
87,19,12
88,19,14
89,19,20
90,20,1
91,20,4
92,20,8
93,20,13
94,21,2
95,21,6
96,21,11
97,21,16
98,21,17
