BookingID,Start_Date,End_Date,Guest_Numbers,Cost,Booking_Made_Date,Booking_Status,PropertyID,GuestID
1,"2023-09-28 08:00:00","2023-10-08 08:00:00",2,1100.00,"2023-09-21 08:00:00",Approved,1,5
2,"2023-10-21 06:00:00","2023-10-31 06:00:00",1,2752.75,"2023-10-15 00:00:00",Approved,2,1
3,"2023-09-26 14:10:00","2023-09-28 14:10:00",5,771.65,"2023-09-20 17:15:00",Approved,3,8
4,"2023-09-27 04:00:00","2023-10-06 04:00:00",3,1485.00,"2023-09-22 22:20:00",Approved,4,2
5,"2023-10-22 11:45:00","2023-10-25 11:45:00",4,495.00,"2023-10-17 09:30:00",Approved,4,6
6,"2023-09-29 23:30:00","2023-10-13 23:30:00",2,1861.71,"2023-09-23 11:23:00",Approved,5,10
7,"2023-09-28 04:15:00","2023-10-09 04:15:00",3,2178.00,"2023-09-24 13:05:00",Approved,6,19
8,"2023-10-03 13:20:00","2023-10-19 13:20:00",5,5280.00,"2023-09-28 02:45:00",Approved,7,15
9,"2023-09-27 10:25:00","2023-10-07 10:25:00",6,2207.67,"2023-09-19 20:35:00",Approved,8,4
10,"2023-10-23 16:30:00","2023-10-28 16:30:00",4,1103.69,"2023-10-14 17:25:00",Approved,8,8
11,"2023-10-12 02:45:00","2023-10-22 02:45:00",10,4400.00,"2023-10-05 10:11:00",Approved,9,9
12,"2023-10-15 17:50:00","2023-10-21 17:50:00",1,864.53,"2023-10-13 07:07:00",Approved,10,10
13,"2023-09-26 12:00:00","2023-10-01 12:00:00",1,1434.29,"2023-09-18 09:00:00",Approved,11,16
14,"2023-09-29 05:30:00","2023-10-19 05:30:00",3,3080.00,"2023-09-25 21:40:00",Approved,12,7
15,"2023-09-30 20:35:00","2023-10-10 20:35:00",6,3410.00,"2023-09-24 12:17:00",Approved,13,18
16,"2023-10-27 15:00:00","2023-10-30 15:00:00",5,924.00,"2023-10-16 03:50:00",Approved,14,13
17,"2023-10-02 22:10:00","2023-10-08 22:10:00",2,1452.00,"2023-09-27 05:55:00",Approved,15,20
18,"2023-09-27 21:30:00","2023-10-02 21:30:00",2,935.00,"2023-09-22 14:38:00",Approved,16,3
19,"2023-10-15 03:15:00","2023-10-19 03:15:00",7,1982.42,"2023-10-07 23:42:00",Approved,17,17
20,"2023-10-20 14:20:00","2023-10-26 14:20:00",4,1257.23,"2023-10-10 18:33:00",Approved,18,11
21,"2023-10-03 11:50:00","2023-10-10 11:50:00",6,2464.00,"2023-09-29 22:45:00",Approved,19,12
22,"2023-10-10 10:25:00","2023-10-18 10:25:00",1,1760.00,"2023-10-01 10:09:00",Approved,20,2
23,"2023-10-23 01:45:00","2023-10-27 01:45:00",3,880.00,"2023-10-22 02:08:00",Rejected,20,5
24,"2023-09-30 23:10:00","2023-10-12 23:10:00",8,3642.54,"2023-09-21 04:25:00",Approved,21,14
25,"2023-10-15 07:30:00","2023-10-19 07:30:00",6,1214.18,"2023-10-13 12:55:00",Approved,21,8
26,"2023-10-24 15:20:00","2023-10-29 15:20:00",7,1517.71,"2023-10-22 17:05:00",Reviewing,21,2
