GuestReviewID,Rating,Comment,Reviewed_Date,GuestID
1,4,"Pen is a great guest, very respectful and friendly. It was a pleasure to host him.","2023-07-15 09:30:00",1
2,5,"Pen was an excellent guest. He left the place in perfect condition and is very polite.","2023-07-20 12:45:00",1
3,5,"Zea is a fantastic guest! She is very considerate and left everything spotless.","2023-09-20 11:30:00",2
4,4,"I enjoyed hosting Zea. She is a responsible guest and easy to communicate with.","2023-09-25 08:15:00",2
5,5,"Elias was a great guest. He is very friendly and respectful. Would host again!","2023-10-02 14:45:00",3
6,4,"I had a positive experience hosting Elias. He is a reliable and easygoing guest.","2023-10-05 10:10:00",3
7,4,"Saunders was a good guest. He respected the property and the rules. No issues.","2023-07-15 12:45:00",4
8,5,"I had a pleasant experience hosting Saunders. He is a responsible and polite guest.","2023-07-20 09:50:00",4
9,5,"Newton is an excellent guest. He is friendly and left the place in great condition.","2023-09-25 15:30:00",5
10,4,"I enjoyed hosting Newton. He is a respectful guest and easy to communicate with.","2023-09-28 11:10:00",5
11,4,"Omar was a good guest. He is responsible and followed the house rules. No problems.","2023-10-15 14:45:00",6
12,5,"I had a positive experience hosting Omar. He is a reliable and easygoing guest.","2023-10-18 10:20:00",6
13,5,"Babita is a fantastic guest! She is very considerate and respectful of the property.","2023-08-30 16:55:00",7
14,4,"I enjoyed hosting Babita. She is a responsible guest and easy to communicate with.","2023-09-05 08:25:00",7
15,5,"Georgie was an excellent guest. She left the place in perfect condition and is very polite.","2023-07-25 12:30:00",8
16,4,"Georgie is a great guest, very respectful and friendly. It was a pleasure to host her.","2023-08-02 10:15:00",8
17,4,"Ker is a good guest. He respected the property and the rules. No issues.","2023-09-10 15:30:00",9
18,5,"I had a pleasant experience hosting Ker. He is a responsible and polite guest.","2023-09-15 11:10:00",9
19,5,"Dallas was a great guest. She is very friendly and left everything spotless.","2023-09-18 14:30:00",10
20,4,"I enjoyed hosting Dallas. She is a reliable and easygoing guest.","2023-09-20 11:20:00",10
21,5,"Eugene is an excellent guest. He is friendly and left the place in great condition.","2023-10-01 09:45:00",11
22,4,"I had a positive experience hosting Eugene. He is a respectful guest and easy to communicate with.","2023-10-05 17:25:00",11
23,4,"Sebastian was a good guest. He respected the property and the rules. No problems.","2023-07-20 16:45:00",12
24,5,"I had a pleasant experience hosting Sebastian. He is a responsible and polite guest.","2023-07-25 13:20:00",12
25,5,"Hazel is a fantastic guest! She is very considerate and respectful of the property.","2023-09-15 12:30:00",13
26,4,"I enjoyed hosting Hazel. She is a responsible guest and easy to communicate with.","2023-09-20 08:40:00",13
27,5,"Charlotte was an excellent guest. She left the place in perfect condition and is very polite.","2023-07-01 10:30:00",14
28,4,"Charlotte is a great guest, very respectful and friendly. It was a pleasure to host her.","2023-07-05 08:15:00",14
29,4,"Henry is a good guest. He respected the property and the rules. No issues.","2023-09-05 16:15:00",15
30,5,"I had a positive experience hosting Henry. He is a reliable and easygoing guest.","2023-09-10 17:50:00",15
31,5,"Grace is a fantastic guest! She is very considerate and respectful of the property.","2023-07-01 16:15:00",16
32,4,"I enjoyed hosting Grace. She is a responsible guest and easy to communicate with.","2023-07-05 17:50:00",16
33,5,"Mason was an excellent guest. He left the place in perfect condition and is very polite.","2023-09-12 10:30:00",17
34,4,"Mason is a great guest, very respectful and friendly. It was a pleasure to host him.","2023-09-15 08:15:00",17
35,4,"Sofia is a good guest. She respected the property and the rules. No issues.","2023-09-20 16:15:00",18
36,5,"I had a positive experience hosting Sofia. She is a reliable and easygoing guest.","2023-09-25 17:50:00",18
37,5,"Lucas is a fantastic guest! He is very considerate and respectful of the property.","2023-07-10 10:30:00",19
38,4,"I enjoyed hosting Lucas. He is a responsible guest and easy to communicate with.","2023-07-15 08:15:00",19
39,4,"Harper was a good guest. She respected the property and the rules. No issues.","2023-09-10 16:15:00",20
40,5,"I had a positive experience hosting Harper. She is a reliable and easygoing guest.","2023-09-15 17:50:00",20
