NotificationID,Notification_Text,Is_Read,UserID
1,"You have a new message from host.",1,2
2,"New event notification.",1,6
3,"Account update: Please review your profile.",0,10
4,"You received a validation request.",0,20
5,"Important system update: Read now.",1,17
6,"Check out our latest offers.",0,7
7,"Your account has been verified.",1,9
8,"Reminder: Upcoming event tomorrow.",0,14
9,"New message from your guest.",1,1
10,"Action required: Verify your email.",0,11
11,"Your received a payment.",1,3
12,"Event cancellation notice.",1,18
13,"Security alert: Change your password.",0,15
14,"You have been awarded a badge.",0,12
15,"Event scheduled for next week.",1,19
16,"Promotional offer: Save on your next booking.",0,4
17,"Booking request accepted.",1,8
18,"New feature announcement: Learn more.",0,16
19,"Account balance update.",0,5
20,"Important notice: Read immediately.",1,13
