AvailablePeriodsID,Start_Date,End_Date,Immediate_Availability,PropertyID
1,"2023-09-26 00:00:00","2023-10-10 23:59:59",1,1
2,"2023-10-20 00:00:00","2023-10-31 23:59:59",1,1
3,"2023-09-26 00:00:00","2023-10-25 12:00:00",1,2
4,"2023-09-26 00:00:00","2023-10-30 23:59:59",0,3
5,"2023-09-26 00:00:00","2023-10-10 23:59:59",0,4
6,"2023-10-20 00:00:00","2023-10-31 23:59:59",0,4
7,"2023-09-26 00:00:00","2023-10-21 23:59:59",1,5
8,"2023-09-26 00:00:00","2023-10-15 23:59:59",0,6
9,"2023-09-26 00:00:00","2023-10-10 23:59:59",1,7
10,"2023-10-20 00:00:00","2023-10-31 23:59:59",1,7
11,"2023-09-26 00:00:00","2023-10-10 23:59:59",1,8
12,"2023-10-21 00:00:00","2023-10-30 23:59:59",1,8
13,"2023-09-26 00:00:00","2023-10-31 23:59:59",0,9
14,"2023-09-26 00:00:00","2023-10-31 23:59:59",0,10
15,"2023-09-26 00:00:00","2023-10-25 12:59:59",1,11
16,"2023-09-26 00:00:00","2023-10-23 18:30:00",1,12
17,"2023-09-26 00:00:00","2023-10-31 23:59:59",0,13
18,"2023-09-26 00:00:00","2023-10-31 23:59:59",1,14
19,"2023-09-26 00:00:00","2023-10-31 23:59:59",1,15
20,"2023-09-26 00:00:00","2023-10-31 23:59:59",0,16
21,"2023-09-26 00:00:00","2023-10-31 23:59:59",1,17
22,"2023-09-26 00:00:00","2023-10-31 23:59:59",0,18
23,"2023-09-26 00:00:00","2023-10-31 23:59:59",1,19
24,"2023-09-26 00:00:00","2023-10-26 22:45:00",0,20
25,"2023-09-26 00:00:00","2023-10-31 23:59:59",0,21
