PaymentID,Currency,Total_Amount,Payment_Date,Payment_Status,BookingID,PropertyID,HostID
1,USD,1000.00,"2023-09-29 08:00:00",Success,1,1,1
2,USD,2502.50,"2023-10-22 06:00:00",Success,2,2,1
3,CAD,701.50,"2023-09-27 14:10:00",Success,3,3,2
4,USD,1350.00,"2023-09-28 04:00:00",Success,4,4,3
5,USD,450.00,"2023-10-23 11:45:00",Success,5,4,3
6,USD,1692.46,"2023-09-30 23:30:00",Success,6,5,4
7,USD,1980.00,"2023-09-29 04:15:00",Success,7,6,5
8,CAD,4800.00,"2023-10-04 13:20:00",Success,8,7,6
9,GBP,2006.70,"2023-09-28 10:25:00",Success,9,8,7
10,GBP,1003.35,"2023-10-24 16:30:00",Success,10,8,7
11,GBP,4000.00,"2023-10-11 02:45:00",Success,11,9,8
12,SGD,785.94,"2023-10-16 17:50:00",Success,12,10,9
13,AUD,1303.90,"2023-09-27 12:00:00",Success,13,11,10
14,USD,2800.00,"2023-09-30 05:30:00",Success,14,12,11
15,USD,3100.00,"2023-10-01 20:35:00",Success,15,13,12
16,USD,840.00,"2023-10-28 15:00:00",Success,16,14,13
17,USD,1320.00,"2023-10-03 22:10:00",Success,17,15,14
18,USD,850.00,"2023-09-28 21:30:00",Success,18,16,15
19,USD,1802.20,"2023-10-16 03:15:00",Success,19,17,16
20,USD,1142.94,"2023-10-21 14:20:00",Success,20,18,17
21,USD,2240.00,"2023-10-04 11:50:00",Success,21,19,18
22,USD,1600.00,"2023-10-11 10:25:00",Success,22,20,19
23,EUR,3311.40,"2023-10-01 23:10:00",Success,24,21,20
24,EUR,1379.75,"2023-10-16 07:30:00",Failed,25,21,20
